"","Hour","am_pm","Date","KWH","usage","weekday"
"1",3,"PM",2014-03-24,0.384,"kwh","Monday"
"2",5,"AM",2014-08-15,1.201,"kwh","Friday"
"3",8,"PM",2014-03-20,1.523,"kwh","Thursday"
"4",6,"PM",2014-04-23,0.424,"kwh","Wednesday"
"5",1,"AM",2014-12-19,0.209,"kwh","Friday"
"6",5,"AM",2014-08-19,1.228,"kwh","Tuesday"
"7",12,"PM",2014-07-07,1.296,"kwh","Monday"
"8",7,"AM",2014-11-25,0.437,"kwh","Tuesday"
"9",8,"AM",2014-08-14,0.523,"kwh","Thursday"
"10",4,"PM",2014-01-25,2.052,"kwh","Saturday"
"11",4,"PM",2014-02-11,0.509,"kwh","Tuesday"
"12",1,"AM",2014-07-11,0.547,"kwh","Friday"
"13",12,"AM",2014-12-28,0.845,"kwh","Sunday"
"14",8,"PM",2014-04-01,0.557,"kwh","Tuesday"
"15",3,"AM",2014-02-04,0.283,"kwh","Tuesday"
"16",11,"PM",2014-05-11,0.344,"kwh","Sunday"
"17",7,"PM",2014-06-24,2.948,"kwh","Tuesday"
"18",1,"AM",2014-06-19,0.378,"kwh","Thursday"
"19",8,"PM",2014-09-23,0.963,"kwh","Tuesday"
"20",12,"PM",2014-07-26,1.469,"kwh","Saturday"
"21",11,"AM",2014-06-23,1.017,"kwh","Monday"
"22",9,"AM",2014-07-01,0.626,"kwh","Tuesday"
"23",1,"PM",2014-02-11,0.547,"kwh","Tuesday"
"24",11,"AM",2014-12-23,0.578,"kwh","Tuesday"
"25",10,"PM",2014-12-20,0.392,"kwh","Saturday"
"26",10,"AM",2014-05-17,0.514,"kwh","Saturday"
"27",12,"PM",2014-04-28,0.147,"kwh","Monday"
"28",1,"PM",2014-03-08,0.542,"kwh","Saturday"
"29",11,"PM",2014-01-21,0.89,"kwh","Tuesday"
"30",12,"AM",2014-01-17,0.546,"kwh","Friday"
"31",12,"AM",2014-04-02,0.1,"kwh","Wednesday"
"32",12,"AM",2014-06-01,1.67,"kwh","Sunday"
"33",4,"PM",2014-10-24,0.269,"kwh","Friday"
"34",6,"AM",2014-10-03,0.626,"kwh","Friday"
"35",10,"PM",2014-11-15,0.203,"kwh","Saturday"
"36",2,"AM",2014-05-08,0.178,"kwh","Thursday"
